Goal,date, Monthly Investment , My Portfolio , S&P 500 Benchmark , KOSPI Benchmark , Savings Benchmark , Expected Path ,,,
은퇴 자금 마련,2018-11-30, 66519.29836882155 , 2883251.275108396 ," 2,674,084 ", 2219064.449635268 , 2429899.2295635743 , 2802027.408551981 ,,,
은퇴 자금 마련,2018-12-31, 66519.29836882155 , 2954533.8564817393 , 2495083.922907966 , 2226384.8524085926 , 2502493.2760063047 , 2902523.956266044 ,,,
은퇴 자금 마련,2019-01-31, 66519.29836882155 , 3025117.0090254634 , 2757831.7701095664 , 2471463.551479776 , 2575268.8075651415 , 2998398.642897439 ,,,
은퇴 자금 마련,2019-02-28, 66519.29836882155 , 3153824.159420772 , 2906236.138557705 , 2527298.7421659552 , 2648226.2779528755 , 3095242.981698127 ,,,
은퇴 자금 마련,2019-03-31, 66519.29836882155 , 3323435.3149891556 , 3024741.6426432016 , 2530630.542567518 , 2721366.142016579 , 3193066.779483258 ,,,
은퇴 자금 마련,2019-04-30, 66519.29836882155 , 3524514.830738614 , 3210065.2382893194 , 2671393.118633656 , 2794688.8557404415 , 3291879.942251614 ,,,
은퇴 자금 마련,2019-05-31, 66519.29836882155 ," 3,596,776 ", 3065320.216463788 , 2541558.4926428497 , 2868194.876248614 , 3391692.4761887267 ,,,
은퇴 자금 마련,2019-06-30, 66519.29836882155 , 3869458.8730144585 , 3343022.6474059853 , 2718576.480626953 , 2941884.6618080568 , 3492514.4886801406 ,,,
은퇴 자금 마련,2019-07-31, 66519.29836882155 , 4017878.9646701063 ," 3,453,313 ", 2649608.636818195 , 3015758.6718313983 , 3594356.1893349234 ,,,
은퇴 자금 마련,2019-08-31, 66519.29836882155 ," 4,061,173 ", 3457236.478176579 , 2641700.2188564115 , 3089817.366879798 ," 3,697,228 ",,,
은퇴 자금 마련,2019-09-30, 66519.29836882155 , 4139176.7935013976 , 3583035.4810654293 , 2835959.9359386754 , 3164061.208665819 , 3801140.0109021207 ,,,
은퇴 자금 마련,2019-10-31, 66519.29836882155 , 4320039.257281534 , 3722639.7025895566 , 2930411.792836972 , 3238490.6600563047 , 3906103.0715074413 ,,,
은퇴 자금 마련,2019-11-30, 66519.29836882155 , 4522798.280169716 , 3915777.5296681905 , 3003076.8449861375 , 3313106.1850752668 , 4012127.701782375 ,,,
은퇴 자금 마련,2019-12-31, 66519.29836882155 , 4718676.928866876 , 4094117.044397927 , 3227231.755706696 , 3387908.2489067763 , 4119224.638172267 ,,,
은퇴 자금 마련,2020-01-31, 66519.29836882155 , 4906404.121264862 , 4153835.1276311236 , 3178072.785771222 , 3462897.3178978646 , 4229929.510903482 ,,,
은퇴 자금 마련,2020-02-29, 66519.29836882155 , 4979019.277187345 , 3870836.238933328 , 3046453.9517488508 , 3538073.8595614303 ," 4,341,822 ",,,
은퇴 자금 마련,2020-03-31, 66519.29836882155 ," 5,055,693 ", 3452909.2542091794 ," 2,756,547 ", 3613438.342579155 ," 4,454,914 ",,,
은퇴 자금 마련,2020-04-30, 66519.29836882155 , 5130527.965818752 , 3957289.9234196157 , 3125996.171231963 , 3688991.2368044243 , 4569220.186808796 ,,,
은퇴 자금 마련,2020-05-31, 66519.29836882155 , 5204887.108500712 , 4202870.318567785 , 3324032.999918825 , 3764733.013265257 , 4684752.014494779 ,,,
은퇴 자금 마련,2020-06-30, 66519.29836882155 , 5275535.219541579 , 4346535.331443886 , 3519322.751534065 , 3840664.144167241 , 4801523.114279724 ,,,
은퇴 자금 마련,2020-07-31, 66519.29836882155 , 5344745.222240679 , 4652412.547404234 ," 3,821,093 ", 3916785.1028964804 , 4919546.779429789 ,,,
은퇴 자금 마련,2020-08-31, 66519.29836882155 ," 5,595,703 ", 5044752.011233437 , 4017882.683701068 , 3993096.3640225427 , 5038836.445803649 ,,,
은퇴 자금 마련,2020-09-30, 66519.29836882155 , 5664318.834914707 , 4913216.549698588 , 4087172.1847468466 ," 4,069,598 ", 5159405.693382035 ,,,
은퇴 자금 마련,2020-10-31, 66519.29836882155 , 5734285.968823145 , 4843651.759281177 , 4046844.2092860155 , 4146291.6976784947 , 5281268.247813688 ,,,
은퇴 자금 마련,2020-11-30, 66519.29836882155 , 5804887.943068859 , 5430930.313027493 , 4691838.128276649 , 4223176.725291512 , 5404437.981977888 ,,,
은퇴 자금 마련,2020-12-31, 66519.29836882155 , 5983566.917336725 , 5698884.635944384 , 5268948.670781349 , 4300253.9654735625 , 5528928.917563754 ,,,
은퇴 자금 마련,2021-01-31, 66519.29836882155 , 6051522.475256768 , 5701761.657673191 , 5523604.7430105405 , 4377523.898756068 , 5665432.782487279 ,,,
은퇴 자금 마련,2021-02-28, 66519.29836882155 ," 6,121,240 ", 5916872.389408367 ," 5,658,047 "," 4,454,987 ", 5803664.498132372 ,,,
은퇴 자금 마련,2021-03-31, 66519.29836882155 , 6199568.929173715 , 6234314.479398002 , 5815319.651169603 , 4532643.772757782 ," 5,943,646 ",,,
은퇴 자금 마련,2021-04-30, 66519.29836882155 , 6460097.283746621 , 6627480.600219832 , 6045760.466861526 , 4610494.680558498 , 6085399.242195317 ,,,
은퇴 자금 마련,2021-05-31, 66519.29836882155 , 6531093.856185223 , 6730162.549152237 , 6219663.0885268105 , 4688540.215628716 , 6228946.846521274 ,,,
은퇴 자금 마련,2021-06-30, 66519.29836882155 , 6768056.668723344 , 6945984.229054637 , 6465961.870324189 , 4766780.8645366095 , 6374311.460437789 ,,,
은퇴 자금 마련,2021-07-31, 66519.29836882155 , 6985574.189722974 , 7170304.248248206 , 6347104.976947626 , 4845217.115066772 ," 6,521,516 ",,,
은퇴 자금 마련,2021-08-31, 66519.29836882155 ," 7,195,488 ", 7444481.134196494 ," 6,407,281 ", 4923849.456223261 , 6670584.006187904 ,,,
은퇴 자금 마련,2021-09-30, 66519.29836882155 , 7118905.310623382 , 7156653.281172615 , 6212243.992004058 ," 5,002,678 ", 6821538.814092178 ,,,
은퇴 자금 마련,2021-10-31, 66519.29836882155 , 7410715.615468701 , 7717798.867209486 , 6079805.372554129 , 5081704.3725470435 , 6974404.391145061 ,,,
은퇴 자금 마련,2021-11-30, 66519.29836882155 , 7550843.661738074 , 7719774.092805152 , 5876561.746153253 , 5160927.931847232 , 7129204.9236496575 ,,,
은퇴 자금 마련,2021-12-31, 66519.29836882155 , 7624853.7430379605 , 8122748.9766286705 ," 6,229,779 ", 5240349.550045672 , 7285964.904056606 ,,,
은퇴 자금 마련,2022-01-31, 66519.29836882155 ," 7,695,286 ", 7761895.851211779 , 5638412.004304668 , 5319969.722289608 ," 7,449,850 ",,,
은퇴 자금 마련,2022-02-28, 66519.29836882155 , 7768903.790532914 , 7584770.9702082295 , 5780538.020480481 , 5399788.944964154 , 7615925.159802819 ,,,
은퇴 자금 마련,2022-03-31, 66519.29836882155 , 7833920.962269822 , 7922399.588803004 , 5972001.995103581 , 5479807.715695386 , 7784219.665557889 ,,,
은퇴 자금 마련,2022-04-30, 66519.29836882155 , 7904360.511252257 , 7291859.350101729 , 5902671.842368758 , 5560026.533353446 , 7954763.170333537 ,,,
은퇴 자금 마련,2022-05-31, 66519.29836882155 , 7973434.617211221 , 7358550.856680444 , 5948871.696967925 , 5640445.898055651 , 8127585.728566607 ,,,
은퇴 자금 마련,2022-06-30, 66519.29836882155 ," 8,021,850 ", 6807323.344222981 , 5232691.155109477 , 5721066.311169612 , 8302717.7963255895 ,,,
은퇴 자금 마련,2022-07-31, 66519.29836882155 , 8107449.607523782 , 7493897.940325437 , 5565591.680419692 , 5801888.275316358 , 8480190.236677809 ,,,
은퇴 자금 마련,2022-08-31, 66519.29836882155 , 8176634.552589917 , 7242154.641744396 , 5678500.0756689785 ," 5,882,912 ", 8660034.325128347 ,,,
은퇴 자금 마련,2022-09-30, 66519.29836882155 , 8257500.4279480325 , 6632073.727008217 , 5017585.422132481 , 5964138.873478225 , 8842281.755131643 ,,,
은퇴 자금 마련,2022-10-31, 66519.29836882155 , 8331222.305863526 , 7228054.012542291 , 5405380.424802252 , 6045568.519030742 , 9026964.643676745 ,,,
은퇴 자금 마련,2022-11-30, 66519.29836882155 , 8422023.883281192 ," 7,682,888 ", 5893304.323124923 , 6127201.7386971405 , 9214115.536947206 ,,,
은퇴 자금 마련,2022-12-31, 66519.29836882155 , 8510854.158427563 , 7296110.892585788 , 5396726.176452037 , 6209039.041412705 , 9403767.416056609 ,,,
은퇴 자금 마련,2023-01-31, 66519.29836882155 , 8618741.253091082 , 7812970.227229015 ," 5,918,297 ", 6291080.937385058 , 9516738.412417019 ,,,
은퇴 자금 마련,2023-02-28, 66519.29836882155 ," 8,698,589 ", 7675244.804044974 , 5954689.596289114 , 6373327.938097342 ," 9,630,267 ",,,
은퇴 자금 마련,2023-03-31, 66519.29836882155 , 8954756.343951374 , 8010568.668950364 , 6178898.255088235 , 6455780.556311407 , 9744357.286870694 ,,,
은퇴 자금 마련,2023-04-30, 66519.29836882155 , 9141994.680185111 , 8194147.926814815 , 6306669.849796444 , 6538439.306071007 ," 9,859,011 ",,,
은퇴 자금 마련,2023-05-31, 66519.29836882155 , 9425219.504630944 , 8280769.833376995 , 6563464.950218274 , 6621304.702705006 , 9974230.448806442 ,,,
은퇴 자금 마련,2023-06-30, 66519.29836882155 , 9825918.231799353 , 8883042.091620753 , 6596976.321546732 ," 6,704,377 ", 10090019.355833957 ,,,
은퇴 자금 마련,2023-07-31, 66519.29836882155 , 10036957.04303886 , 9225914.501085794 , 6838898.985294278 , 6787657.504356488 , 10206380.22419378 ,,,
은퇴 자금 마련,2023-08-31, 66519.29836882155 , 9988284.715772085 , 9128719.991881318 , 6706862.4544826625 ," 6,871,146 ", 10323315.879197717 ,,,
은퇴 자금 마련,2023-09-30, 66519.29836882155 , 9758483.163773898 , 8750232.348825896 ," 6,533,788 ", 6954843.109721237 , 10440829.160113733 ,,,
은퇴 자금 마련,2023-10-31, 66519.29836882155 , 9827927.982782677 ," 8,624,172 ", 6104137.547078896 , 7038749.515864361 , 10558922.920234902 ,,,
