Goal,date, Monthly Investment , My Portfolio , S&P 500 Benchmark , KOSPI Benchmark , Savings Benchmark , Expected Path ,,,
단기 저축 목표,2020-04-30, 1169229.6869196328 , 80756563.81155099 , 69558473.58093685 , 54946573.61441236 ," 64,842,507 ", 75105181.08354135 ,,,
단기 저축 목표,2020-05-31, 1169229.6869196328 , 82049195.78606454 , 73875113.94807698 , 58427526.433851995 , 66173842.93547118 , 76778114.75814478 ,,,
단기 저축 목표,2020-06-30, 1169229.6869196328 , 83283511.56461895 , 76400357.03009303 , 61860193.05450181 , 67508507.22972949 , 78462268.20947827 ,,,
단기 저축 목표,2020-07-31, 1169229.6869196328 , 84495218.70565122 , 81776852.72717929 ," 67,164,494 ", 68846508.18472344 , 80157716.68463129 ,,,
단기 저축 목표,2020-08-31, 1169229.6869196328 , 86638539.42324105 , 88673121.32453793 , 70623530.72782166 , 70187854.14210486 ," 81,864,536 ",,,
단기 저축 목표,2020-09-30, 1169229.6869196328 , 87840232.61195356 , 86361083.00963432 ," 71,841,453 ", 71532553.46437976 , 83582802.22141686 ,,,
단기 저축 목표,2020-10-31, 1169229.6869196328 ," 89,062,930 ", 85138321.79424387 , 71132596.16180515 , 72880614.53496033 , 85312592.31406781 ,,,
단기 저축 목표,2020-11-30, 1169229.6869196328 , 90295570.48549345 , 95461093.32626091 , 82469848.00389555 , 74232045.75821735 , 87053983.49941242 ,,,
단기 저축 목표,2020-12-31, 1169229.6869196328 , 92075737.19778797 , 100171006.9419422 , 92613893.34829238 , 75586855.55953252 , 88807053.58189197 ,,,
여행 자금,2016-01-31, 125855.01471154601 , 125855.01471154601 , 125792.08720419025 , 125792.08720419025 , 125855.01471154601 , 125855.01471154601 ,,,
여행 자금,2016-02-29, 125855.01471154601 , 251904.61945323067 , 251061.7145461999 , 251881.56144141214 , 252024.6669598709 , 252685.85451819818 ,,,
여행 자금,2016-03-31, 125855.01471154601 , 383127.41558215435 , 393415.3675436621 , 388070.0597874571 , 378509.74333881657 , 380500.08554370946 ,,,
여행 자금,2016-04-30, 125855.01471154601 , 509252.2250484447 , 520259.6041314478 , 513515.4319732309 , 505311.0324087096 , 509305.3325762687 ,,,
여행 자금,2016-05-31, 125855.01471154601 , 641426.1240326525 ," 654,011 ", 636517.8801447555 , 632429.3247012773 , 639109.2795233589 ,,,
여행 자금,2016-06-30, 125855.01471154601 , 768364.3663273935 , 780382.9463335914 , 758095.4058714991 , 759865.4127245764 , 769919.6698701429 ,,,
여행 자금,2016-07-31, 125855.01471154601 , 913906.3129340066 , 933944.8051943477 , 901492.9212238321 , 887620.0909679339 , 901744.3071414026 ,,,
여행 자금,2016-08-31, 125855.01471154601 , 1038041.5106801685 , 1058574.838206599 , 1035501.410048698 , 1015694.1559068997 , 1034591.0553670601 ,,,
여행 자금,2016-09-30, 125855.01471154601 , 1174570.7655752534 , 1183033.7021247572 ," 1,165,821 ", 1144088.4060082128 , 1168467.8395513082 ,,,
여행 자금,2016-10-31, 125855.01471154601 , 1281887.856619115 , 1285814.9806503523 , 1271346.784777694 , 1272803.6417347793 , 1303382.6461453787 ,,,
여행 자금,2016-11-30, 125855.01471154601 , 1381665.9109838565 , 1455517.0346046963 , 1381442.469517802 , 1401840.6655506622 , 1439343.5235239756 ,,,
여행 자금,2016-12-31, 125855.01471154601 , 1517853.6749657495 , 1607764.2536599506 , 1537111.4539062246 , 1531200.2819260848 , 1576358.582465403 ,,,
